time,obs,obs_id,id
0.5,19.946883023485118,1,1
1.25,1.6439887294403746,1,1
2.0,21.754207122833613,1,1
2.75,13.579299254084756,1,1
3.5,36.87878236542647,1,1
4.25,37.33357813909912,1,1
5.0,28.78376650411414,1,1
5.75,22.8491419922902,1,1
6.5,31.365518729890198,1,1
7.25,26.99120127638543,1,1
8.0,6.76028192906676,1,1
8.75,8.500128993085719,1,1
9.5,20.72118678944079,1,1
10.25,24.571877875478854,1,1
11.0,8.721712231093958,1,1
11.75,0.7514081234380954,1,1
12.5,0.0830598034759155,1,1
13.25,-0.9932013157075378,1,1
14.0,18.087216117781946,1,1
14.75,4.307371869817474,1,1
15.5,0.16776238761302253,1,1
16.25,-0.8083531055956594,1,1
17.0,1.4841087360871157,1,1
17.75,-0.13318880101703667,1,1
18.5,0.3664052727274855,1,1
19.25,1.9501660361557092,1,1
20.0,-0.3697749178584729,1,1
20.75,1.6234193848294918,1,1
21.5,4.771263618455091,1,1
22.25,0.8971811023005312,1,1
23.0,2.021616428988538,1,1
23.75,-1.037969652798024,1,1
24.5,1.5063046118138717,1,1
25.25,15.382585091099518,1,1
26.0,13.742020305872447,1,1
26.75,14.127003578654628,1,1
27.5,2.8462114376687655,1,1
28.25,3.730889578199972,1,1
29.0,12.977981656281651,1,1
29.75,35.81239461862286,1,1
30.5,14.449025085505959,1,1
31.25,27.555633098793102,1,1
32.0,16.165721413491635,1,1
32.75,21.730925703935995,1,1
33.5,21.158404641769074,1,1
34.25,38.26833846723162,1,1
35.0,20.591642468977895,1,1
35.75,13.40440843983021,1,1
36.5,4.151203984550095,1,1
37.25,-0.8437460205750287,1,1
38.0,0.908211567087644,1,1
38.75,5.068353288105724,1,1
39.5,16.436992093111932,1,1
40.25,5.64160141549611,1,1
41.0,3.4842571106675884,1,1
41.75,-0.6848159000460705,1,1
42.5,0.13247791959432972,1,1
43.25,0.008863860084589748,1,1
44.0,0.816533112546202,1,1
44.75,-0.36257922747065713,1,1
45.5,-0.07674141401945095,1,1
46.25,3.040095315891014,1,1
47.0,15.171265643804846,1,1
47.75,13.498985154306146,1,1
0.5,13.484874602347537,1,2
1.25,28.483900931089963,1,2
2.0,21.84893258491865,1,2
2.75,15.931326465578767,1,2
3.5,17.39217863015795,1,2
4.25,17.30226654611881,1,2
5.0,21.71731897898622,1,2
5.75,26.977155608436057,1,2
6.5,24.31738397092886,1,2
7.25,33.43357905961369,1,2
8.0,45.914279977435534,1,2
8.75,34.84328949643164,1,2
9.5,40.494818102439204,1,2
10.25,16.84132746832819,1,2
11.0,10.842392204701977,1,2
11.75,13.939387389465823,1,2
12.5,7.146818195266238,1,2
13.25,28.09560138148609,1,2
14.0,26.48288372477793,1,2
14.75,8.571385331513175,1,2
15.5,2.6497149140337233,1,2
16.25,1.184328861512829,1,2
17.0,5.537438714413799,1,2
17.75,7.555855015690157,1,2
18.5,5.299775387605703,1,2
19.25,0.31153048991472876,1,2
20.0,1.6686860513493282,1,2
20.75,0.13210504633288858,1,2
21.5,-2.173261348276261,1,2
22.25,-2.0041256822393185,1,2
23.0,4.169511082397129,1,2
23.75,0.12416146471602096,1,2
24.5,9.033339846217766,1,2
25.25,9.564687171606254,1,2
26.0,8.893244606447883,1,2
26.75,17.29225276984204,1,2
27.5,10.575243561158945,1,2
28.25,28.711952777680644,1,2
29.0,26.795513812556294,1,2
29.75,10.627879583772366,1,2
30.5,14.424997137457183,1,2
31.25,7.133577926709128,1,2
32.0,12.748985883204005,1,2
32.75,1.1465870414533155,1,2
33.5,15.91159923535493,1,2
34.25,10.703754031801768,1,2
35.0,32.601739773980576,1,2
35.75,14.306105059017547,1,2
36.5,37.46633119613968,1,2
37.25,38.15592371412895,1,2
38.0,19.378315609534862,1,2
38.75,1.3947774238040653,1,2
39.5,0.4774705286351686,1,2
