time,obs,obs_id,id
0.5,21.35320897948522,1,1
1.25,49.754786290794826,1,1
2.0,56.95165673992599,1,1
2.75,94.58003502076092,1,1
3.5,85.41148103117386,1,1
4.25,75.44900188868434,1,1
5.0,74.58496730186262,1,1
5.75,82.54893405313841,1,1
6.5,116.90323003776835,1,1
7.25,137.77889543954313,1,1
8.0,106.89964153631864,1,1
8.75,84.18156588925727,1,1
9.5,72.3934996968064,1,1
10.25,95.6898083356933,1,1
11.0,96.8421525633177,1,1
11.75,113.54372356591756,1,1
12.5,112.83750472415196,1,1
13.25,72.50793147353313,1,1
14.0,74.8312705552414,1,1
14.75,70.45041832496238,1,1
15.5,51.54773603181765,1,1
16.25,29.730381522108072,1,1
17.0,12.873491986700955,1,1
17.75,9.067818738240954,1,1
18.5,4.868115967346481,1,1
19.25,3.0402884254567595,1,1
20.0,4.702052318907246,1,1
20.75,1.6762547446544356,1,1
21.5,5.054171814990644,1,1
22.25,16.82397733538575,1,1
23.0,22.444534871528596,1,1
23.75,55.52163251602747,1,1
24.5,89.73332905346359,1,1
25.25,71.1222840025596,1,1
26.0,75.18536897271701,1,1
26.75,59.6266776797818,1,1
27.5,104.30302357114836,1,1
28.25,137.40206474376467,1,1
29.0,150.49852850387057,1,1
29.75,128.4466025621525,1,1
30.5,138.6845235525421,1,1
31.25,133.11358030269915,1,1
32.0,146.2637763812255,1,1
32.75,145.158328381783,1,1
33.5,108.17591944432516,1,1
34.25,114.91792231202957,1,1
35.0,98.24117516359098,1,1
35.75,80.53295654435291,1,1
36.5,74.29230536222411,1,1
37.25,71.93172769306119,1,1
38.0,47.564244216306214,1,1
38.75,27.99472364436625,1,1
39.5,13.844257164867852,1,1
40.25,5.58120609661102,1,1
41.0,2.7687428460108965,1,1
41.75,4.897396364985325,1,1
42.5,1.1386492228658653,1,1
43.25,-0.20956354724915666,1,1
44.0,2.147438593205937,1,1
44.75,2.165809059326554,1,1
45.5,-0.21719926248319052,1,1
46.25,16.001786603244977,1,1
47.0,53.9875629280398,1,1
47.75,85.62897000131339,1,1
