id,ratio,TP,Cell_Area,Nuclear_Mean,Cell_Mean,ratio_new,time,fruc,obs,frud_ic,obs_id,fruc_scale_fac,fruc_mM
14,1.226530816390844,12,11.36523,2536.84375,2068.308204,0.22653081639084388,6,2,0.2265308163908439,2,1,2,110
14,1.2613045652503108,13,11.36523,2582.6875,2047.631929,0.2613045652503107,6.5,2,0.2613045652503107,2,1,2,110
14,1.252556502818779,14,11.36523,2551.21875,2036.809313,0.2525565028187791,7,2,0.2525565028187791,2,1,2,110
14,1.2440756672127098,15,11.36523,2511.375,2018.667406,0.2440756672127097,7.5,2,0.24407566721270968,2,1,2,110
14,1.2098343526931055,16,11.36523,2440.71875,2017.399113,0.20983435269310544,8,2,0.20983435269310546,2,1,2,110
14,1.187958793877682,17,11.36523,2402,2021.955654,0.18795879387768208,8.5,2,0.18795879387768208,2,1,2,110
14,1.2020691011149922,18,11.36523,2405.71875,2001.314856,0.20206910111499218,9,2,0.2020691011149922,2,1,2,110
14,1.2106611086527723,19,11.36523,2388.84375,1973.172949,0.2106611086527722,9.5,2,0.2106611086527722,2,1,2,110
14,1.1752571331022734,20,11.36523,2321.09375,1974.966741,0.17525713310227337,10,2,0.17525713310227334,2,1,2,110
14,1.158270930605557,21,11.36523,2299.0625,1984.909091,0.1582709306055569,10.5,2,0.1582709306055569,2,1,2,110
14,1.1556541936183353,22,11.36523,2272.6875,1966.580931,0.15565419361833527,11,2,0.15565419361833527,2,1,2,110
14,1.1709326480986295,23,11.36523,2296.53125,1961.283814,0.1709326480986296,11.5,2,0.1709326480986296,2,1,2,110
14,1.20038112773903,24,11.36523,2315.59375,1929.04878,0.20038112773902997,12,2,0.20038112773902997,2,1,2,110
14,1.1834450825326461,25,11.36523,2289.454545,1934.567627,0.18344508253264602,12.5,2,0.18344508253264602,2,1,2,110
14,1.2432043545867377,26,11.36523,2407.086207,1936.195122,0.24320435458673764,13,2,0.24320435458673764,2,1,2,110
14,1.184046131960833,27,10.407627,2304.113636,1945.966102,0.18404613196083305,13.5,2,0.18404613196083303,2,1,2,110
14,1.2006904897523138,28,10.407627,2315.204545,1928.227603,0.20069048975231374,14,2,0.20069048975231374,2,1,2,110
14,1.1681601328726585,29,10.407627,2247.613636,1924.062954,0.16816013287265863,14.5,2,0.16816013287265863,2,1,2,110
14,1.189219157224529,30,10.407627,2276.113636,1913.956416,0.189219157224529,15,2,0.189219157224529,2,1,2,110
14,1.1750387918161818,31,10.407627,2263.318182,1926.164649,0.17503879181618182,15.5,2,0.17503879181618182,2,1,2,110
14,1.1833017996199904,32,10.407627,2267.340909,1916.113801,0.18330179961999035,16,2,0.18330179961999032,2,1,2,110
14,1.1522967050544681,33,10.407627,2242.840909,1946.409201,0.15229670505446818,16.5,2,0.15229670505446818,2,1,2,110
15,1.0220678332445043,4,5.670015,2191,2143.693333,0.022067833244504394,2,2,0.022067833244504398,2,1,2,110
15,1.0665902549456672,5,5.670015,2296.795455,2153.4,0.06659025494566724,2.5,2,0.06659025494566724,2,1,2,110
15,1.083589759586112,6,5.670015,2356.022727,2174.275556,0.08358975958611199,3,2,0.083589759586112,2,1,2,110
15,1.1303572446871628,7,5.670015,2444.354839,2162.462222,0.1303572446871629,3.5,2,0.1303572446871629,2,1,2,110
15,1.157151297609746,8,5.670015,2501.709677,2161.955556,0.15715129760974603,4,2,0.15715129760974603,2,1,2,110
15,1.1442076458987775,9,5.670015,2457.193548,2147.506667,0.14420764589877758,4.5,2,0.14420764589877758,2,1,2,110
15,1.1558162607602547,10,5.670015,2449,2118.848889,0.1558162607602548,5,2,0.1558162607602548,2,1,2,110
15,1.162182923879557,11,5.670015,2456.193548,2113.431111,0.16218292387955688,5.5,2,0.16218292387955688,2,1,2,110
15,1.1492332440095594,12,5.670015,2428.16129,2112.853333,0.14923324400955945,6,2,0.14923324400955948,2,1,2,110
15,1.1625881875605688,13,5.670015,2431.870968,2091.773333,0.16258818756056875,6.5,2,0.16258818756056878,2,1,2,110
15,1.1513219876662348,14,5.670015,2400.419355,2084.924444,0.15132198766623495,7,2,0.15132198766623495,2,1,2,110
15,1.1597920280089065,15,5.670015,2375.16129,2047.92,0.15979202800890657,7.5,2,0.15979202800890657,2,1,2,110
15,1.1602286916883269,16,5.670015,2374.709677,2046.76,0.16022869168832685,8,2,0.16022869168832685,2,1,2,110
