time,obs,obs_id,id
1.0,107.06754256777347,1,1
1.5,94.12202018082577,1,1
2.0,72.16547257075652,1,1
2.5,85.90992489605625,1,1
3.0,261.6964949980701,1,1
3.5,338.71502476510665,1,1
4.0,437.22650865193634,1,1
4.5,447.00465958701153,1,1
5.0,348.60658972330685,1,1
5.5,392.9719580481008,1,1
6.0,441.0667953686534,1,1
6.5,404.7351390630053,1,1
7.0,376.68413067281364,1,1
7.5,318.17563971904536,1,1
8.0,387.24409406489315,1,1
8.5,455.98806094229303,1,1
9.0,395.431128816261,1,1
9.5,150.3195285699593,1,1
10.0,108.75561084697125,1,1
10.5,126.59990703973551,1,1
11.0,317.83768245867236,1,1
11.5,405.1747002810742,1,1
12.0,389.6324833154144,1,1
12.5,347.7893691181163,1,1
13.0,320.2291176100572,1,1
13.5,370.77803109159504,1,1
14.0,117.09419835453936,1,1
14.5,96.87498057549695,1,1
15.0,129.1781017799616,1,1
15.5,114.93711652975114,1,1
16.0,128.83028509577548,1,1
16.5,109.96351443115125,1,1
17.0,107.5222231946236,1,1
17.5,75.62420261802811,1,1
18.0,83.2535324119752,1,1
18.5,119.67466283435056,1,1
19.0,84.58131070720677,1,1
19.5,127.02586191801585,1,1
20.0,69.29285563283867,1,1
20.5,152.86373706353487,1,1
21.0,76.98399945669802,1,1
21.5,116.54312575122297,1,1
22.0,97.9959873197067,1,1
22.5,88.92486853058644,1,1
23.0,98.95729421103186,1,1
23.5,135.739638461838,1,1
24.0,156.948749997119,1,1
24.5,143.10394836198796,1,1
25.0,106.55558742149576,1,1
25.5,75.61209145154025,1,1
26.0,83.1068270383775,1,1
26.5,66.8531246927831,1,1
27.0,94.26535638608085,1,1
27.5,139.75036957591382,1,1
28.0,72.89816942423039,1,1
28.5,96.41276218032425,1,1
29.0,115.49694146155723,1,1
29.5,74.73187783029172,1,1
30.0,102.12432371993025,1,1
30.5,115.21767084193189,1,1
31.0,87.97554230791658,1,1
31.5,99.35882090463213,1,1
32.0,99.04367531941998,1,1
32.5,158.0610651268457,1,1
33.0,107.47423176326343,1,1
33.5,122.02177086522477,1,1
34.0,105.3405830996854,1,1
34.5,109.75235076089842,1,1
35.0,100.94549871628864,1,1
35.5,152.67404976378762,1,1
36.0,209.31480351745753,1,1
36.5,107.37881901493789,1,1
37.0,90.34291093303449,1,1
37.5,85.27827209525198,1,1
38.0,84.01292103290345,1,1
38.5,127.58555392617596,1,1
39.0,85.51120138304367,1,1
39.5,86.49768525941128,1,1
40.0,99.86030768064253,1,1
40.5,142.96351781998345,1,1
41.0,90.37423199714941,1,1
41.5,99.18527114525219,1,1
42.0,113.79857266817689,1,1
42.5,107.56733506690149,1,1
43.0,70.34015180816868,1,1
43.5,69.2875459619242,1,1
44.0,97.32671890426404,1,1
44.5,72.18554543555643,1,1
45.0,103.34001338999562,1,1
45.5,126.85146768533761,1,1
46.0,109.97744350193956,1,1
46.5,124.24172429495499,1,1
47.0,90.2289105969974,1,1
47.5,53.731886669748654,1,1
48.0,118.23393755450748,1,1
48.5,86.49103502745504,1,1
49.0,96.64749355741911,1,1
49.5,93.12428207310943,1,1
50.0,102.46411477160142,1,1
